antecedents,consequents,support,confidence,lift
"spaghetti sauce, poultry",pork,0.0694,0.4051,1.1394
"sugar, laundry detergent",hand soap,0.0588,0.3941,1.1393
"shampoo, hand soap",milk,0.0597,0.4331,1.1393
"spaghetti sauce, beef",sugar,0.065,0.4111,1.1393
"butter, laundry detergent",sugar,0.065,0.4111,1.1393
"cereals, cheeses",fruits,0.0737,0.4221,1.1393
"fruits, milk",dinner rolls,0.065,0.4431,1.1393
"sandwich bags, shampoo",dinner rolls,0.065,0.4431,1.1393
"butter, tortillas",dinner rolls,0.065,0.4431,1.1393
"coffee/tea, all- purpose",dinner rolls,0.065,0.4431,1.1393
"ice cream, juice",dishwashing liquid/detergent,0.0737,0.4421,1.1393
"pasta, individual meals",waffles,0.0658,0.4491,1.1393
"sandwich bags, juice",waffles,0.0658,0.4491,1.1393
"laundry detergent, individual meals",cheeses,0.0676,0.4451,1.1392
"sugar, dishwashing liquid/detergent",cheeses,0.0676,0.4451,1.1392
"waffles, pasta",cereals,0.0729,0.4511,1.1392
"lunch meat, juice",cereals,0.0729,0.4511,1.1392
"sugar, sandwich loaves",ketchup,0.0579,0.4231,1.1392
"sugar, sandwich loaves",pasta,0.0579,0.4231,1.1392
"soap, individual meals",pasta,0.0676,0.4231,1.1392
"individual meals, sandwich loaves",ketchup,0.0676,0.4231,1.1392
"cereals, poultry",sandwich loaves,0.072,0.3981,1.1392
"sandwich bags, paper towels",tortillas,0.0632,0.4211,1.1391
"dishwashing liquid/detergent, soda",tortillas,0.0702,0.4211,1.1391
"cereals, individual meals",soda,0.0711,0.4451,1.1391
"bagels, juice",ice cream,0.0737,0.4541,1.1391
"laundry detergent, hand soap",sugar,0.0588,0.411,1.1391
"ketchup, lunch meat",sugar,0.0588,0.411,1.1391
"paper towels, flour",dinner rolls,0.0615,0.443,1.1391
"yogurt, bagels",beef,0.0694,0.427,1.1391
"toilet paper, soda",beef,0.0694,0.427,1.1391
"bagels, dishwashing liquid/detergent",cheeses,0.0746,0.445,1.1391
"sandwich bags, coffee/tea",ice cream,0.0694,0.454,1.1391
"poultry, eggs",sandwich loaves,0.0702,0.398,1.139
"milk, juice",poultry,0.0737,0.48,1.139
"eggs, individual meals",poultry,0.0737,0.48,1.139
"milk, sugar",spaghetti sauce,0.0597,0.425,1.139
"bagels, hand soap",shampoo,0.0553,0.42,1.139
"tortillas, dinner rolls",lunch meat,0.0711,0.45,1.139
"spaghetti sauce, mixes",lunch meat,0.0711,0.45,1.139
"spaghetti sauce, beef",lunch meat,0.0711,0.45,1.139
"paper towels, mixes",lunch meat,0.0711,0.45,1.139
"aluminum foil, pasta",sandwich bags,0.0658,0.419,1.139
"laundry detergent, lunch meat",butter,0.0658,0.419,1.139
"yogurt, pasta",dishwashing liquid/detergent,0.0702,0.442,1.139
"ketchup, lunch meat",ice cream,0.065,0.454,1.139
sandwich bags,soap,0.1589,0.432,1.1389
soap,sandwich bags,0.1589,0.419,1.1389
"yogurt, ice cream",all- purpose,0.0667,0.427,1.1389
"ice cream, ketchup",all- purpose,0.0667,0.427,1.1389
"cereals, soda",beef,0.0667,0.427,1.1389
"toilet paper, sugar",fruits,0.0641,0.422,1.1389
"sugar, dishwashing liquid/detergent",fruits,0.0641,0.422,1.1389
"spaghetti sauce, tortillas",soap,0.0641,0.432,1.1389
"hand soap, pasta",coffee/tea,0.0641,0.432,1.1389
"paper towels, dishwashing liquid/detergent",toilet paper,0.0685,0.4309,1.1388
"yogurt, pasta",toilet paper,0.0685,0.4309,1.1388
"spaghetti sauce, ice cream",laundry detergent,0.0685,0.4309,1.1388
"paper towels, poultry",laundry detergent,0.0685,0.4309,1.1388
"coffee/tea, dinner rolls",laundry detergent,0.0685,0.4309,1.1388
"waffles, flour",hand soap,0.0571,0.3939,1.1388
"cheeses, tortillas",hand soap,0.0571,0.3939,1.1388
"dishwashing liquid/detergent, lunch meat",hand soap,0.0685,0.3939,1.1388
"fruits, coffee/tea",milk,0.0623,0.4329,1.1388
"hand soap, pork",sandwich bags,0.0544,0.4189,1.1388
"tortillas, shampoo",aluminum foil,0.0588,0.4379,1.1388
"dishwashing liquid/detergent, mixes",eggs,0.0799,0.4439,1.1387
"waffles, milk",pork,0.0579,0.4049,1.1387
"shampoo, flour",pork,0.0579,0.4049,1.1387
"toilet paper, dinner rolls",beef,0.0641,0.4269,1.1387
"cheeses, pork",all- purpose,0.0641,0.4269,1.1387
"cheeses, pork",beef,0.0641,0.4269,1.1387
"shampoo, sandwich loaves",all- purpose,0.0641,0.4269,1.1387
"aluminum foil, sandwich loaves",beef,0.0641,0.4269,1.1387
"spaghetti sauce, sandwich loaves",all- purpose,0.0641,0.4269,1.1387
"fruits, poultry",sandwich loaves,0.0667,0.3979,1.1387
"fruits, bagels",sandwich loaves,0.0667,0.3979,1.1387
"cheeses, shampoo",bagels,0.0694,0.4389,1.1387
"soda, coffee/tea",shampoo,0.0667,0.4199,1.1387
"ice cream, laundry detergent",shampoo,0.0667,0.4199,1.1387
"ice cream, aluminum foil",ketchup,0.0746,0.4229,1.1387
"waffles, coffee/tea",eggs,0.0764,0.4439,1.1387
"aluminum foil, mixes",eggs,0.0764,0.4439,1.1387
"mixes, all- purpose",cereals,0.0685,0.4509,1.1387
"bagels, butter",cereals,0.0685,0.4509,1.1387
"coffee/tea, flour",cereals,0.0685,0.4509,1.1387
"shampoo, individual meals",cereals,0.0685,0.4509,1.1387
"cheeses, soda",fruits,0.0711,0.4219,1.1387
"pasta, hand soap",yogurt,0.065,0.4379,1.1387
"sandwich bags, bagels",waffles,0.0694,0.4489,1.1387
"beef, dinner rolls",waffles,0.0694,0.4489,1.1387
"toilet paper, butter",waffles,0.0694,0.4489,1.1387
"poultry, juice",individual meals,0.0755,0.4279,1.1386
"toilet paper, soap",eggs,0.0729,0.4439,1.1386
"dishwashing liquid/detergent, coffee/tea",ketchup,0.065,0.4229,1.1386
"beef, shampoo",ketchup,0.065,0.4229,1.1386
"milk, juice",pasta,0.065,0.4229,1.1386
"ice cream, mixes",pasta,0.065,0.4229,1.1386
"bagels, eggs",butter,0.0702,0.4188,1.1386
"paper towels, ice cream",mixes,0.0729,0.4278,1.1386
"paper towels, ice cream",individual meals,0.0729,0.4278,1.1386
"paper towels, waffles",eggs,0.0694,0.4438,1.1385
"soap, sugar",coffee/tea,0.0667,0.4318,1.1385
"butter, soda",coffee/tea,0.0667,0.4318,1.1385
"toilet paper, butter",coffee/tea,0.0667,0.4318,1.1385
aluminum foil,flour,0.1545,0.4018,1.1385
flour,aluminum foil,0.1545,0.4378,1.1385
"cereals, paper towels",individual meals,0.0702,0.4278,1.1385
"cheeses, soap",sugar,0.0667,0.4108,1.1385
"shampoo, individual meals",poultry,0.0729,0.4798,1.1385
"waffles, dinner rolls",cereals,0.0764,0.4508,1.1384
"waffles, aluminum foil",cereals,0.0764,0.4508,1.1384
"shampoo, dinner rolls",cereals,0.0764,0.4508,1.1384
"sandwich bags, aluminum foil",paper towels,0.0623,0.4128,1.1384
"cheeses, yogurt",bagels,0.0755,0.4388,1.1384
"spaghetti sauce, beef",individual meals,0.0676,0.4278,1.1384
"bagels, lunch meat",mixes,0.0676,0.4278,1.1384
"fruits, yogurt",mixes,0.0676,0.4278,1.1384
"coffee/tea, dinner rolls",sandwich loaves,0.0632,0.3978,1.1384
"soap, poultry",lunch meat,0.0825,0.4498,1.1384
"soda, dinner rolls",toilet paper,0.0737,0.4308,1.1384
"poultry, tortillas",toilet paper,0.0737,0.4308,1.1384
"milk, lunch meat",tortillas,0.0676,0.4208,1.1384
"cheeses, poultry",dishwashing liquid/detergent,0.0799,0.4417,1.1383
"aluminum foil, sandwich loaves",milk,0.065,0.4327,1.1383
"fruits, flour",all- purpose,0.0588,0.4268,1.1383
"sandwich bags, spaghetti sauce",pork,0.0597,0.4048,1.1383
"toilet paper, spaghetti sauce",individual meals,0.065,0.4277,1.1383
"coffee/tea, flour",individual meals,0.065,0.4277,1.1383
"fruits, eggs",mixes,0.065,0.4277,1.1383
sandwich loaves,cheeses,0.1554,0.4447,1.1383
cheeses,sandwich loaves,0.1554,0.3978,1.1383
"ice cream, pork",hand soap,0.0553,0.3938,1.1383
"laundry detergent, pork",hand soap,0.0553,0.3938,1.1383
"fruits, pasta",tortillas,0.0606,0.4207,1.1383
"cheeses, all- purpose",lunch meat,0.0667,0.4497,1.1383
"butter, pork",bagels,0.0597,0.4387,1.1382
"tortillas, ketchup",individual meals,0.0623,0.4277,1.1382
"lunch meat, individual meals",laundry detergent,0.0764,0.4307,1.1382
"poultry, butter",paper towels,0.0685,0.4127,1.1382
"soda, individual meals",paper towels,0.0685,0.4127,1.1382
"cheeses, aluminum foil",shampoo,0.0711,0.4197,1.1382
"sandwich bags, eggs",fruits,0.0615,0.4217,1.1382
"poultry, individual meals",pasta,0.072,0.4227,1.1381
"toilet paper, flour",cereals,0.0641,0.4506,1.138
"waffles, ice cream",dishwashing liquid/detergent,0.0764,0.4416,1.138
"spaghetti sauce, juice",poultry,0.0825,0.4796,1.138
"cheeses, laundry detergent",dinner rolls,0.0711,0.4426,1.138
"laundry detergent, aluminum foil",dinner rolls,0.0711,0.4426,1.138
"dishwashing liquid/detergent, all- purpose",dinner rolls,0.0711,0.4426,1.138
"pasta, pork",mixes,0.0571,0.4276,1.138
"laundry detergent, all- purpose",fruits,0.0685,0.4216,1.138
"cereals, soap",fruits,0.0685,0.4216,1.138
"lunch meat, dinner rolls",fruits,0.0685,0.4216,1.138
"butter, juice",ketchup,0.0623,0.4226,1.138
"yogurt, poultry",paper towels,0.0746,0.4126,1.138
"shampoo, sandwich loaves",bagels,0.0658,0.4386,1.138
"soda, mixes",bagels,0.0658,0.4386,1.138
"toilet paper, sugar",pork,0.0615,0.4046,1.1379
"milk, pasta",sandwich bags,0.0632,0.4186,1.1379
"soap, shampoo",butter,0.0632,0.4186,1.1379
"shampoo, pasta",sandwich bags,0.0632,0.4186,1.1379
"eggs, pork",butter,0.0632,0.4186,1.1379
"soap, dinner rolls",milk,0.0676,0.4326,1.1379
"waffles, poultry",coffee/tea,0.072,0.4316,1.1379
"ice cream, all- purpose",spaghetti sauce,0.0667,0.4246,1.1379
"yogurt, coffee/tea",ice cream,0.0729,0.4536,1.1379
"sandwich bags, poultry",juice,0.0737,0.4286,1.1379
"laundry detergent, mixes",juice,0.0685,0.4286,1.1379
"sandwich bags, pasta",juice,0.0632,0.4286,1.1379
"soap, beef",juice,0.0685,0.4286,1.1379
"laundry detergent, pasta",juice,0.0658,0.4286,1.1379
"individual meals, sandwich loaves",cereals,0.072,0.4505,1.1379
"tortillas, laundry detergent",sandwich loaves,0.0579,0.3976,1.1378
"butter, shampoo",sandwich loaves,0.0579,0.3976,1.1378
"dishwashing liquid/detergent, pork",dinner rolls,0.0676,0.4425,1.1378
"sandwich bags, lunch meat",dinner rolls,0.0676,0.4425,1.1378
"cheeses, sugar",shampoo,0.0641,0.4195,1.1378
"toilet paper, laundry detergent",shampoo,0.0641,0.4195,1.1378
"yogurt, ketchup",shampoo,0.0641,0.4195,1.1378
"dishwashing liquid/detergent, poultry",pasta,0.079,0.4225,1.1377
"waffles, spaghetti sauce",bagels,0.072,0.4385,1.1377
"paper towels, pasta",bagels,0.072,0.4385,1.1377
"fruits, pork",coffee/tea,0.0553,0.4315,1.1377
"fruits, juice",hand soap,0.0536,0.3935,1.1377
"fruits, individual meals",waffles,0.065,0.4485,1.1377
"sugar, spaghetti sauce",waffles,0.065,0.4485,1.1377
"cheeses, ice cream",beef,0.0764,0.4265,1.1376
"cheeses, ice cream",all- purpose,0.0764,0.4265,1.1376
"sugar, poultry",all- purpose,0.0764,0.4265,1.1376
"hand soap, flour",laundry detergent,0.0571,0.4305,1.1376
"milk, bagels",sandwich bags,0.0676,0.4185,1.1376
"toilet paper, ketchup",pork,0.0632,0.4045,1.1376
"soap, sandwich loaves",cheeses,0.0702,0.4444,1.1376
"spaghetti sauce, butter",soda,0.0667,0.4444,1.1376
"spaghetti sauce, beef",soda,0.0702,0.4444,1.1376
"paper towels, waffles",pork,0.0632,0.4045,1.1376
"paper towels, spaghetti sauce",pork,0.0632,0.4045,1.1376
"cheeses, juice",soda,0.0667,0.4444,1.1376
"tortillas, dinner rolls",soda,0.0702,0.4444,1.1376
"soda, sandwich loaves",ice cream,0.0641,0.4534,1.1375
"soap, sugar",tortillas,0.065,0.4205,1.1375
"ketchup, all- purpose",tortillas,0.065,0.4205,1.1375
"beef, mixes",dinner rolls,0.0641,0.4424,1.1375
"juice, sandwich loaves",dinner rolls,0.0641,0.4424,1.1375
"tortillas, mixes",milk,0.0702,0.4324,1.1375
"bagels, tortillas",milk,0.0702,0.4324,1.1375
eggs,milk,0.1686,0.4324,1.1375
milk,eggs,0.1686,0.4434,1.1375
"cereals, all- purpose",spaghetti sauce,0.0641,0.4244,1.1374
"sandwich bags, yogurt",paper towels,0.0641,0.4124,1.1374
"bagels, pork",paper towels,0.0641,0.4124,1.1374
"hand soap, sandwich loaves",lunch meat,0.0623,0.4494,1.1374
"ketchup, hand soap",lunch meat,0.0623,0.4494,1.1374
"aluminum foil, hand soap",lunch meat,0.0623,0.4494,1.1374
"dishwashing liquid/detergent, all- purpose",hand soap,0.0632,0.3934,1.1374
"sandwich bags, hand soap",laundry detergent,0.0597,0.4304,1.1374
"paper towels, flour",laundry detergent,0.0597,0.4304,1.1374
"cereals, hand soap",laundry detergent,0.0597,0.4304,1.1374
"dishwashing liquid/detergent, flour",sugar,0.0623,0.4104,1.1374
"paper towels, yogurt",sugar,0.0623,0.4104,1.1374
bagels,aluminum foil,0.1686,0.4374,1.1373
aluminum foil,bagels,0.1686,0.4384,1.1373
"hand soap, juice",tortillas,0.0579,0.4204,1.1373
"soda, juice",dishwashing liquid/detergent,0.0694,0.4413,1.1373
"toilet paper, shampoo",dishwashing liquid/detergent,0.0694,0.4413,1.1373
"sugar, ice cream",dishwashing liquid/detergent,0.0694,0.4413,1.1373
"paper towels, sugar",ketchup,0.0597,0.4224,1.1373
"pork, individual meals",ketchup,0.0597,0.4224,1.1373
"butter, pork",shampoo,0.0571,0.4194,1.1373
"paper towels, all- purpose",fruits,0.0658,0.4213,1.1372
"lunch meat, flour",fruits,0.0658,0.4213,1.1372
"aluminum foil, lunch meat",pork,0.065,0.4044,1.1372
"cheeses, laundry detergent",pork,0.065,0.4044,1.1372
"shampoo, sandwich loaves",cereals,0.0676,0.4503,1.1372
"aluminum foil, sandwich loaves",cereals,0.0676,0.4503,1.1372
"waffles, juice",all- purpose,0.0711,0.4263,1.1372
"cereals, spaghetti sauce",beef,0.0711,0.4263,1.1372
"milk, soda",fruits,0.0729,0.4213,1.1372
"toilet paper, laundry detergent",waffles,0.0685,0.4483,1.1372
"pork, flour",toilet paper,0.0623,0.4303,1.1372
"spaghetti sauce, lunch meat",milk,0.0729,0.4323,1.1371
"yogurt, all- purpose",cereals,0.0755,0.4503,1.1371
"cheeses, dinner rolls",cereals,0.0755,0.4503,1.1371
"shampoo, pork",bagels,0.0623,0.4383,1.1371
"tortillas, flour",bagels,0.0623,0.4383,1.1371
"sugar, pork",hand soap,0.0518,0.3933,1.1371
"dishwashing liquid/detergent, sandwich loaves",hand soap,0.0518,0.3933,1.1371
"paper towels, hand soap",flour,0.0536,0.4013,1.1371
"sandwich bags, soda",eggs,0.072,0.4432,1.1371
"cereals, soap",eggs,0.072,0.4432,1.1371
"spaghetti sauce, lunch meat",poultry,0.0808,0.4792,1.137
"butter, pasta",coffee/tea,0.0606,0.4312,1.137
"soap, shampoo",laundry detergent,0.065,0.4302,1.137
"milk, pasta",laundry detergent,0.065,0.4302,1.137
"eggs, shampoo",laundry detergent,0.065,0.4302,1.137
"soda, eggs",individual meals,0.0799,0.4272,1.137
"ketchup, juice",all- purpose,0.0685,0.4262,1.1369
"cheeses, ketchup",all- purpose,0.0685,0.4262,1.1369
"cheeses, individual meals",beef,0.0685,0.4262,1.1369
"shampoo, mixes",bagels,0.0685,0.4382,1.1369
"bagels, lunch meat",pasta,0.0667,0.4222,1.1369
"yogurt, mixes",pork,0.0667,0.4043,1.1369
sandwich loaves,yogurt,0.1528,0.4372,1.1369
yogurt,sandwich loaves,0.1528,0.3973,1.1369
"milk, shampoo",dishwashing liquid/detergent,0.0658,0.4412,1.1369
"eggs, flour",dishwashing liquid/detergent,0.0658,0.4412,1.1369
"laundry detergent, dinner rolls",tortillas,0.0694,0.4202,1.1369
"cheeses, poultry",individual meals,0.0773,0.4272,1.1368
"dishwashing liquid/detergent, all- purpose",yogurt,0.0702,0.4372,1.1368
"poultry, flour",toilet paper,0.0676,0.4302,1.1368
"juice, dinner rolls",toilet paper,0.0676,0.4302,1.1368
"cereals, cheeses",milk,0.0755,0.4322,1.1368
"bagels, sandwich loaves",butter,0.0606,0.4182,1.1368
"milk, individual meals",sandwich bags,0.0606,0.4182,1.1368
"cereals, flour",aluminum foil,0.0641,0.4371,1.1367
"cereals, flour",eggs,0.065,0.4431,1.1367
"sandwich bags, shampoo",poultry,0.0702,0.479,1.1367
"beef, pasta",shampoo,0.0615,0.4192,1.1367
"coffee/tea, all- purpose",aluminum foil,0.0641,0.4371,1.1367
"waffles, sandwich loaves",flour,0.0588,0.4012,1.1367
"butter, tortillas",coffee/tea,0.0632,0.4311,1.1367
"spaghetti sauce, dishwashing liquid/detergent",soap,0.0632,0.4311,1.1367
"soap, eggs",dinner rolls,0.0737,0.4421,1.1367
"spaghetti sauce, bagels",dinner rolls,0.0737,0.4421,1.1367
"poultry, hand soap",all- purpose,0.0658,0.4261,1.1367
"cheeses, ketchup",waffles,0.072,0.4481,1.1367
"toilet paper, sandwich loaves",milk,0.0615,0.4321,1.1366
"sugar, coffee/tea",milk,0.0615,0.4321,1.1366
"hand soap, flour",aluminum foil,0.0579,0.4371,1.1366
"milk, hand soap",tortillas,0.0623,0.4201,1.1366
"poultry, laundry detergent",ketchup,0.0737,0.4221,1.1366
"ice cream, soda",individual meals,0.072,0.4271,1.1366
"cereals, beef",individual meals,0.072,0.4271,1.1366
"paper towels, waffles",sugar,0.0641,0.4101,1.1365
"waffles, shampoo",flour,0.0623,0.4011,1.1365
"waffles, juice",poultry,0.0799,0.4789,1.1365
"ice cream, juice",poultry,0.0799,0.4789,1.1365
"dishwashing liquid/detergent, soda",poultry,0.0799,0.4789,1.1365
"mixes, pork",butter,0.065,0.4181,1.1365
"beef, juice",sandwich bags,0.065,0.4181,1.1365
"laundry detergent, juice",sandwich bags,0.065,0.4181,1.1365
"shampoo, dinner rolls",toilet paper,0.0729,0.4301,1.1365
"cereals, dishwashing liquid/detergent",laundry detergent,0.0729,0.4301,1.1365
"sandwich bags, cheeses",toilet paper,0.0729,0.4301,1.1365
"laundry detergent, mixes",paper towels,0.0658,0.4121,1.1365
"yogurt, spaghetti sauce",paper towels,0.0658,0.4121,1.1365
"cheeses, pasta",paper towels,0.0658,0.4121,1.1365
"butter, pasta",cereals,0.0632,0.45,1.1365
"spaghetti sauce, beef",cereals,0.0711,0.45,1.1365
"yogurt, individual meals",cereals,0.0711,0.45,1.1365
"paper towels, mixes",cereals,0.0711,0.45,1.1365
"sandwich bags, hand soap",spaghetti sauce,0.0588,0.4241,1.1365
"cheeses, butter",flour,0.0641,0.4011,1.1364
"soap, dishwashing liquid/detergent",flour,0.0641,0.4011,1.1364
"soap, eggs",fruits,0.0702,0.4211,1.1364
"beef, pork",fruits,0.0632,0.4211,1.1364
"paper towels, hand soap",fruits,0.0562,0.4211,1.1364
"ice cream, juice",fruits,0.0702,0.4211,1.1364
"cheeses, juice",fruits,0.0632,0.4211,1.1364
"fruits, laundry detergent",beef,0.0632,0.426,1.1364
"ketchup, flour",beef,0.0632,0.426,1.1364
"spaghetti sauce, dinner rolls",lunch meat,0.0773,0.449,1.1364
"bagels, juice",mixes,0.0694,0.427,1.1364
"cereals, soap",mixes,0.0694,0.427,1.1364
"yogurt, eggs",paper towels,0.072,0.4121,1.1364
"beef, coffee/tea",dishwashing liquid/detergent,0.0623,0.441,1.1364
"sandwich bags, ketchup",flour,0.0658,0.4011,1.1364
"poultry, aluminum foil",laundry detergent,0.0755,0.43,1.1364
"individual meals, dinner rolls",ice cream,0.0676,0.4529,1.1363
"sandwich loaves, dinner rolls",ice cream,0.0676,0.4529,1.1363
"soda, all- purpose",ice cream,0.0676,0.4529,1.1363
"toilet paper, sugar",hand soap,0.0597,0.3931,1.1363
"sugar, dishwashing liquid/detergent",hand soap,0.0597,0.3931,1.1363
"soap, aluminum foil",shampoo,0.0658,0.419,1.1363
"toilet paper, cereals",sandwich bags,0.0694,0.418,1.1363
"cereals, aluminum foil",sandwich bags,0.0694,0.418,1.1363
"bagels, aluminum foil",waffles,0.0755,0.4479,1.1363
"sandwich bags, beef",individual meals,0.0667,0.427,1.1362
"milk, dinner rolls",individual meals,0.0667,0.427,1.1362
"ice cream, ketchup",mixes,0.0667,0.427,1.1362
"soap, juice",mixes,0.0667,0.427,1.1362
"coffee/tea, mixes",milk,0.0641,0.432,1.1362
"poultry, dinner rolls",aluminum foil,0.0852,0.4369,1.1362
"bagels, pasta",ketchup,0.0641,0.422,1.1362
"yogurt, pork",ketchup,0.0641,0.422,1.1362
"butter, dinner rolls",pasta,0.0641,0.422,1.1362
"milk, mixes",soap,0.0685,0.4309,1.1362
"ice cream, laundry detergent",soap,0.0685,0.4309,1.1362
"coffee/tea, dinner rolls",soap,0.0685,0.4309,1.1362
"eggs, lunch meat",coffee/tea,0.0685,0.4309,1.1362
"dishwashing liquid/detergent, mixes",cheeses,0.0799,0.4439,1.1362
"paper towels, tortillas",all- purpose,0.0606,0.4259,1.1361
"aluminum foil, juice",soda,0.0764,0.4439,1.1361
"cheeses, yogurt",soda,0.0764,0.4439,1.1361
"pork, flour",poultry,0.0694,0.4788,1.1361
"bagels, sandwich loaves",poultry,0.0694,0.4788,1.1361
"sandwich bags, toilet paper",poultry,0.0694,0.4788,1.1361
"hand soap, flour",pork,0.0536,0.404,1.1361
"laundry detergent, hand soap",waffles,0.0641,0.4479,1.1361
"soap, milk",spaghetti sauce,0.0685,0.4239,1.1361
"ice cream, beef",spaghetti sauce,0.0685,0.4239,1.1361
"waffles, ketchup",spaghetti sauce,0.0685,0.4239,1.1361
"cereals, pork",individual meals,0.0641,0.4269,1.1361
"cheeses, juice",individual meals,0.0641,0.4269,1.1361
"cereals, all- purpose",dinner rolls,0.0667,0.4419,1.1361
"soap, shampoo",dinner rolls,0.0667,0.4419,1.1361
"cheeses, fruits",dishwashing liquid/detergent,0.072,0.4409,1.1361
"sandwich bags, laundry detergent",dishwashing liquid/detergent,0.072,0.4409,1.1361
"sandwich bags, ketchup",cheeses,0.0729,0.4439,1.1361
"pasta, sandwich loaves",sugar,0.0579,0.4099,1.1361
"fruits, butter",sugar,0.0579,0.4099,1.1361
"poultry, juice",sandwich bags,0.0737,0.4179,1.136
"poultry, lunch meat",flour,0.0746,0.4009,1.136
"sandwich bags, soap",tortillas,0.0667,0.4199,1.136
"dishwashing liquid/detergent, individual meals",tortillas,0.0667,0.4199,1.136
"spaghetti sauce, bagels",aluminum foil,0.0729,0.4368,1.136
"toilet paper, yogurt",bagels,0.0711,0.4378,1.136
"cereals, soap",bagels,0.0711,0.4378,1.136
"shampoo, mixes",soda,0.0694,0.4438,1.136
"lunch meat, flour",cheeses,0.0694,0.4438,1.136
"ice cream, coffee/tea",poultry,0.079,0.4787,1.136
"cereals, beef",pasta,0.0711,0.4219,1.136
"ice cream, dishwashing liquid/detergent",soap,0.0711,0.4309,1.136
"eggs, juice",coffee/tea,0.0711,0.4309,1.136
"soda, pork",cheeses,0.0658,0.4438,1.1359
"soap, butter",cheeses,0.0658,0.4438,1.1359
"beef, hand soap",mixes,0.0615,0.4268,1.1359
"shampoo, juice",sandwich loaves,0.0676,0.3969,1.1359
"soap, poultry",cereals,0.0825,0.4498,1.1359
"yogurt, juice",waffles,0.079,0.4478,1.1359
"paper towels, pasta",juice,0.0702,0.4278,1.1358
"tortillas, individual meals",yogurt,0.0667,0.4368,1.1358
"ketchup, sandwich loaves",yogurt,0.0667,0.4368,1.1358
"sandwich bags, lunch meat",aluminum foil,0.0667,0.4368,1.1358
"bagels, laundry detergent",yogurt,0.0667,0.4368,1.1358
"poultry, juice",ice cream,0.0799,0.4527,1.1358
"aluminum foil, lunch meat",sugar,0.0658,0.4098,1.1358
"cereals, waffles",sugar,0.0658,0.4098,1.1358
"ice cream, sandwich loaves",juice,0.0676,0.4278,1.1358
"ice cream, tortillas",hand soap,0.0579,0.3929,1.1357
"sugar, butter",mixes,0.0588,0.4268,1.1357
"toilet paper, pork",mixes,0.0588,0.4268,1.1357
"toilet paper, pork",individual meals,0.0588,0.4268,1.1357
"sugar, hand soap",individual meals,0.0588,0.4268,1.1357
"flour, juice",individual meals,0.0588,0.4268,1.1357
"cheeses, ketchup",fruits,0.0676,0.4208,1.1357
"soap, spaghetti sauce",fruits,0.0676,0.4208,1.1357
"eggs, ketchup",sandwich loaves,0.0658,0.3968,1.1356
"soap, shampoo",waffles,0.0676,0.4477,1.1356
"eggs, shampoo",waffles,0.0676,0.4477,1.1356
"sandwich bags, yogurt",dishwashing liquid/detergent,0.0685,0.4407,1.1356
"sandwich bags, yogurt",spaghetti sauce,0.0658,0.4237,1.1356
"coffee/tea, pasta",spaghetti sauce,0.0658,0.4237,1.1356
beef,cereals,0.1686,0.4496,1.1356
cereals,beef,0.1686,0.4257,1.1356
"dishwashing liquid/detergent, mixes",sugar,0.0737,0.4098,1.1356
"soda, hand soap",sandwich bags,0.0579,0.4177,1.1355
"cheeses, hand soap",butter,0.0579,0.4177,1.1355
"aluminum foil, hand soap",sandwich bags,0.0579,0.4177,1.1355
"laundry detergent, hand soap",poultry,0.0685,0.4785,1.1355
"dishwashing liquid/detergent, hand soap",poultry,0.0685,0.4785,1.1355
"tortillas, juice",poultry,0.0685,0.4785,1.1355
"butter, shampoo",ketchup,0.0615,0.4217,1.1355
"cereals, dishwashing liquid/detergent",tortillas,0.0711,0.4197,1.1355
"sandwich bags, laundry detergent",poultry,0.0781,0.4785,1.1354
"waffles, pasta",sandwich loaves,0.0641,0.3967,1.1354
butter,sandwich bags,0.1536,0.4177,1.1354
sandwich bags,butter,0.1536,0.4177,1.1354
"sandwich loaves, dinner rolls",butter,0.0623,0.4176,1.1353
"mixes, individual meals",sandwich bags,0.0623,0.4176,1.1353
"soda, all- purpose",butter,0.0623,0.4176,1.1353
"fruits, mixes",butter,0.0623,0.4176,1.1353
"toilet paper, yogurt",pasta,0.0685,0.4216,1.1353
"lunch meat, dinner rolls",pasta,0.0685,0.4216,1.1353
butter,laundry detergent,0.158,0.4296,1.1353
laundry detergent,butter,0.158,0.4176,1.1353
soap,spaghetti sauce,0.1607,0.4236,1.1353
spaghetti sauce,soap,0.1607,0.4306,1.1353
"tortillas, all- purpose",sugar,0.0597,0.4096,1.1352
"coffee/tea, sandwich loaves",sugar,0.0597,0.4096,1.1352
"coffee/tea, shampoo",eggs,0.0676,0.4425,1.1352
"sandwich bags, dinner rolls",eggs,0.0676,0.4425,1.1352
"waffles, ice cream",yogurt,0.0755,0.4365,1.1352
"cereals, all- purpose",shampoo,0.0632,0.4186,1.1352
"soap, flour",shampoo,0.0632,0.4186,1.1352
"sandwich bags, aluminum foil",shampoo,0.0632,0.4186,1.1352
"eggs, dinner rolls",cereals,0.0781,0.4495,1.1352
toilet paper,milk,0.1633,0.4316,1.1352
milk,toilet paper,0.1633,0.4296,1.1352
"bagels, sandwich loaves",lunch meat,0.065,0.4485,1.1352
"sandwich loaves, juice",lunch meat,0.065,0.4485,1.1352
"pork, flour",lunch meat,0.065,0.4485,1.1352
"soda, lunch meat",sandwich bags,0.0667,0.4176,1.1351
